Level Number,Total Attempts,Completions,Failures,Completion Rate %,Average Time (s),Fastest Time (s),Slowest Time (s),Difficulty Score,Rage Quits,First Attempt Success Rate %,Failure Reasons
1,45,42,3,93.3,15.2,12.1,22.4,15.2,0,88.9,"timing(3)"
2,43,38,5,88.4,18.7,14.5,28.3,22.8,0,83.7,"platform_issue(2),timing(3)"
3,41,35,6,85.4,22.1,17.8,35.6,28.9,1,78.0,"confusion(4),timing(2)"
4,39,31,8,79.5,28.4,21.2,42.1,35.7,1,69.2,"platform_issue(5),timing(3)"
5,37,27,10,73.0,32.8,25.1,48.7,42.1,2,64.9,"complexity(6),timing(4)"
6,35,23,12,65.7,38.9,28.7,55.3,48.6,3,57.1,"complexity(8),timing(4)"
7,33,19,14,57.6,45.2,33.4,62.8,55.3,4,48.5,"difficulty_spike(10),timing(4)"
8,31,15,16,48.4,52.6,38.9,71.2,62.1,6,38.7,"difficulty_spike(12),timing(4)"
9,29,11,18,37.9,61.3,44.2,82.1,69.8,8,31.0,"difficulty_spike(14),timing(4)"
10,27,7,20,25.9,72.8,51.7,95.4,78.5,12,22.2,"difficulty_spike(16),timing(4)"
11,25,4,21,16.0,85.4,58.9,112.3,87.2,15,12.0,"difficulty_spike(17),timing(4)"
12,23,2,21,8.7,98.7,67.2,130.1,95.1,18,4.3,"broken_level(18),difficulty_spike(3)"
13,21,1,20,4.8,115.2,89.1,141.3,98.7,19,0.0,"broken_level(19),difficulty_spike(1)"
14,19,1,18,5.3,108.9,82.3,135.5,97.3,17,5.3,"broken_level(16),difficulty_spike(2)"
15,17,1,16,5.9,102.1,76.8,127.4,96.1,15,5.9,"broken_level(14),difficulty_spike(2)"
16,15,2,13,13.3,89.3,68.7,109.9,88.4,12,6.7,"broken_level(11),difficulty_spike(2)"
17,13,3,10,23.1,76.4,58.2,94.6,79.2,8,15.4,"complexity(7),difficulty_spike(3)"
18,11,4,7,36.4,63.8,47.9,79.7,69.5,5,27.3,"complexity(5),timing(2)"
19,9,5,4,55.6,51.2,38.4,64.0,58.7,2,44.4,"complexity(3),timing(1)"
20,7,6,1,85.7,39.8,29.1,50.5,35.2,0,71.4,"timing(1)"
